production_row_index	source_uid	parquet_path	parquet_bytes	expected_sha256	observed_sha256	parquet_rows	expected_rows	status
0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0000_b109098209bda84b.parquet	844673	509ca6106b4d330bcda8cc3ae4488dc75411cc5abc3ace3e3b0ab1fa313d3b49	509ca6106b4d330bcda8cc3ae4488dc75411cc5abc3ace3e3b0ab1fa313d3b49	10000	10000	pass
1	3bc3942d91503ba846db3899::background::362::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0001_8664354e5b90ba32.parquet	848055	ef23484a9e865dd16b150f240dfd67bd60d6f879085cd5ea7d0af9ec522484c4	ef23484a9e865dd16b150f240dfd67bd60d6f879085cd5ea7d0af9ec522484c4	10000	10000	pass
2	554693ea991d325b22636467::background::357::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0002_2637dc06c4600573.parquet	844953	bde1b884dc52fa64d7460281326561e3b0f786909f2207ee1ee2126b7d4beaec	bde1b884dc52fa64d7460281326561e3b0f786909f2207ee1ee2126b7d4beaec	10000	10000	pass
3	765df8c6ff15e5ef9646314a::background::356::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0003_7751c49131ac2cd1.parquet	846868	657f434c86352bfaa23935d46bfb0bc0627af317a88023ad72c070e326759299	657f434c86352bfaa23935d46bfb0bc0627af317a88023ad72c070e326759299	10000	10000	pass
4	883cde2439e6efaaafe5691f::background::361::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0004_275556648fb3e8d1.parquet	843925	febea08aeaf611ff69216630fb62fff20468ca06dd39863e43b59e2b8173e438	febea08aeaf611ff69216630fb62fff20468ca06dd39863e43b59e2b8173e438	10000	10000	pass
5	8e0aa4631d1190f8a8484606::background::353::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0005_30dcaf7241b1388b.parquet	846754	2fa9d452292774040b98b94fcdd582323daaca0d5197f0c5be147ee3c09a6144	2fa9d452292774040b98b94fcdd582323daaca0d5197f0c5be147ee3c09a6144	10000	10000	pass
6	b2239a1c2ffb2eb5fc793ee7::background::351::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0006_330df69e3bd3ee51.parquet	845278	04c2e986b95198c8a476e9439c0f0fc620b20f29250bfee0fc85159b0ecdb995	04c2e986b95198c8a476e9439c0f0fc620b20f29250bfee0fc85159b0ecdb995	10000	10000	pass
7	ba4ea16c7c45ee2aae854f6e::background::355::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0007_176ac4a41a0741be.parquet	847275	a23892e9d792c97f7a26b03d652bd613ffdae897ba1a8c422710fd27d5e68880	a23892e9d792c97f7a26b03d652bd613ffdae897ba1a8c422710fd27d5e68880	10000	10000	pass
8	e14311c8c1d2f7b5d00cbf57::background::358::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0008_3fe8e636150d8d90.parquet	845684	28ced86313e195d9b11cf28ed11e790f46baa5f545f2875707e489624df981d4	28ced86313e195d9b11cf28ed11e790f46baa5f545f2875707e489624df981d4	10000	10000	pass
9	e913062b5f3e6b74057d1360::background::360::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0009_c00e5653e1ea2065.parquet	843935	b6f32fbb4c8c91ed0ebd53a65003d27e0bd9704691a10168723c9fb4790b3922	b6f32fbb4c8c91ed0ebd53a65003d27e0bd9704691a10168723c9fb4790b3922	10000	10000	pass
